,title,rooms,building_area,land_area,price,location,City,District
0,"Działka Berest, 33-380 Krynica-Zdrój",,,7 000 m²,"46 614,75 zł","Berest, nowosądecki, małopolskie",Berest,małopolskie
1,"Dom Kościernica-Mirotki , 76-010 Polanów",5 pokoi,200 m²,działka 2 035 m²,325 600 zł,"Mirotki, koszaliński, zachodniopomorskie",Mirotki,zachodniopomorskie
2,"Dom przy Krupińskiego , 44-313 Wodzisław Śląski",5 pokoi,144 m²,działka 1 484 m²,192 000 zł,"Wodzisław Śląski, wodzisławski, śląskie",Wodzisław Śląski,śląskie
3,"Dom ul. Jana Pawła II, 30-444 Libertów",3 pokoje,134 m²,działka 216 m²,"180 466,67 zł","Libertów, krakowski, małopolskie",Libertów,małopolskie
4,"Dom i budynek gospodarczy, 87-700 Podgaj",3 pokoje,"63,30 m²",działka 3 800 m²,109 500 zł,"Podgaj, aleksandrowski, kujawsko-pomorskie",Podgaj,kujawsko-pomorskie
5,"Dom ul. Tysiąclecia, Dzietrzkowice gm. Łubnice",5 pokoi,"239,53 m²",działka 1 200 m²,127 125 zł,"Łubnice, wieruszowski, łódzkie",Łubnice,łódzkie
6,"Dom - pensjonat ul. Łąkowa, Kolno",,25 500 m²,,896 190 zł,"Kolno, kolneński, podlaskie",Kolno,podlaskie
7,"Dom ul. Azaliowa, Zbylitowska Góra",3 pokoje,"185,90 m²",działka 1 029 m²,453 606 zł,"Zbylitowska Góra, tarnowski, małopolskie",Zbylitowska Góra,małopolskie
8,"Działki na jeziorem, Sypniewo gm. Margonin",,,33 397 m²,234 945 zł,"Margonin, chodzieski, wielkopolskie",Margonin,wielkopolskie
9,"Mieszkanie ul. Garncarska, Kamień Pomorski",2 pokoje,"42,78 m²",,102 150 zł,"Kamień Pomorski, kamieński, zachodniopomorskie",Kamień Pomorski,zachodniopomorskie
10,"Dom, 82-103 Rybina",4 pokoje,"153,10 m²",działka 518 m²,507 525 zł,"Rybina, nowodworski, pomorskie",Rybina,pomorskie
11,Budynki użytkowe 66-433 Marwice,,"884,20 m²",,777 800 zł,"Marwice, gorzowski, lubuskie",Marwice,lubuskie
12,"Mieszkanie al. Niepodległości, Sopot",3 pokoje,"85,90 m²",,716 850 zł,"Sopot, pomorskie",Sopot,pomorskie
13,Mieszkanie Krosno Odrzańskie ul. Kościelna,2 pokoje,58 m²,,"76 266,67 zł","Krosno Odrzańskie, krośnieński, lubuskie",Krosno Odrzańskie,lubuskie
14,"Dom ul. Wrzesińska ,Zasutowo",5 pokoi,"271,38 m²",działka 5 096 m²,"461 693,33 zł","Zasutowo, wrzesiński, wielkopolskie",Zasutowo,wielkopolskie
15,"Dom stan surowy zamknięty Bronowo ,gm.Stegna",5 pokoi,"349,10 m²",działka 20 438 m²,256 125 zł,"Bronowo, nowodworski, pomorskie",Bronowo,pomorskie
16,"Dom 84-217 Łebno, Strażacka",4 pokoje,"72,20 m²",działka 800 m²,75 000 zł,"Łebno, wejherowski, pomorskie",Łebno,pomorskie
17,"Mieszkanie Białaczów, ul.Piotrkowska",2 pokoje,"51,60 m²",,"83 466,67 zł","Białaczów, opoczyński, łódzkie",Białaczów,łódzkie
18,Mieszkanie w Boguszowie-Gorcach ul. Krakowska,2 pokoje,"41,01 m²",,36 750 zł,"Boguszów-Gorce, wałbrzyski, dolnośląskie",Boguszów-Gorce,dolnośląskie
19,"Dom 95-020 Janówka, ul. Rybna",3 pokoje,"66,80 m²",działka 507 m²,"114 187,50 zł","Janówka, łódzki wschodni, łódzkie",Janówka,łódzkie
20,"Budynki Użytkowe Iwiny ,gmina Warta Bolesławiecka",,750 m²,,142 500 zł,"Iwiny, bolesławiecki, dolnośląskie",Iwiny,dolnośląskie
21,"Dom 84-207 Koleczkowo, Przemysłowa",5 pokoi,150 m²,działka 4 900 m²,680 250 zł,"Koleczkowo, wejherowski, pomorskie",Koleczkowo,pomorskie
22,"Dom ul. Imbirowa , Henryków-Urocze",5 pokoi,328 m²,działka 3 000 m²,484 575 zł,"Henryków-Urocze, piaseczyński, mazowieckie",Henryków-Urocze,mazowieckie
23,"Dom Ubocze, 59-620 Gryfów Śląski",3 pokoje,100 m²,działka 1 700 m²,97 695 zł,"Ubocze, lwówecki, dolnośląskie",Ubocze,dolnośląskie
24,"Działka gruntu rolnego, Kuczbork-Osada",,,34 122 m²,"97 747,50 zł","Kuczbork-Osada, żuromiński, mazowieckie",Kuczbork-Osada,mazowieckie
